customer_id,signup_date,region,company_size,industry,acquisition_channel,churn_x,churn_y,churn
CUST_00001,2024-04-12,North India,Small,Healthcare,Organic,1,1,1
CUST_00002,2025-03-11,North India,Small,Finance,Organic,1,0,0
CUST_00003,2024-09-27,South India,Medium,Tech,Referral,1,1,1
CUST_00004,2024-04-16,International,Medium,Healthcare,Organic,1,0,1
CUST_00005,2024-03-12,South India,Large,Finance,Paid Ads,0,0,0
CUST_00006,2025-12-01,West India,Small,Healthcare,Paid Ads,1,0,0
CUST_00007,2024-01-21,South India,Medium,Tech,Paid Ads,1,1,0
CUST_00008,2025-09-06,North India,Small,Tech,Paid Ads,0,0,0
CUST_00009,2024-05-01,South India,Small,Retail,Organic,0,0,0
CUST_00010,2025-04-11,South India,Medium,Finance,Organic,1,0,1
CUST_00011,2024-08-02,South India,Medium,Healthcare,Organic,0,0,0
CUST_00012,2024-11-26,North India,Large,Healthcare,Organic,0,0,0
CUST_00013,2025-04-03,North India,Medium,Finance,Paid Ads,1,0,1
CUST_00014,2024-03-28,South India,Small,Finance,Organic,0,1,0
CUST_00015,2025-01-07,International,Small,Retail,Organic,0,1,0
CUST_00016,2024-04-09,South India,Medium,Retail,Organic,1,0,0
CUST_00017,2025-10-25,North India,Medium,Retail,Paid Ads,1,1,1
CUST_00018,2024-05-10,South India,Small,Retail,Organic,1,0,1
CUST_00019,2025-10-23,North India,Small,Tech,Organic,0,1,0
CUST_00020,2024-11-04,West India,Large,Finance,Referral,0,0,0
CUST_00021,2024-12-09,North India,Medium,Retail,Organic,0,0,1
CUST_00022,2025-05-06,South India,Small,Healthcare,Organic,1,1,0
CUST_00023,2025-02-17,South India,Large,Healthcare,Paid Ads,1,1,0
CUST_00024,2025-01-20,West India,Medium,Retail,Paid Ads,0,0,0
CUST_00025,2024-07-10,South India,Small,Retail,Referral,0,0,0
CUST_00026,2024-10-03,South India,Small,Healthcare,Referral,0,0,0
CUST_00027,2024-06-09,South India,Medium,Retail,Paid Ads,0,1,0
CUST_00028,2025-04-04,South India,Small,Finance,Organic,1,0,1
CUST_00029,2024-11-09,South India,Medium,Tech,Paid Ads,0,0,0
CUST_00030,2024-01-22,West India,Large,Healthcare,Organic,0,0,0
CUST_00031,2024-09-09,West India,Small,Tech,Referral,1,1,0
CUST_00032,2025-07-14,North India,Medium,Retail,Paid Ads,0,1,0
CUST_00033,2025-04-19,South India,Medium,Tech,Paid Ads,1,1,0
CUST_00034,2024-02-28,North India,Small,Retail,Paid Ads,1,0,0
CUST_00035,2025-05-25,North India,Medium,Retail,Paid Ads,1,0,0
CUST_00036,2025-11-12,North India,Medium,Healthcare,Paid Ads,1,0,0
CUST_00037,2025-04-20,South India,Medium,Finance,Organic,1,0,0
CUST_00038,2025-11-30,International,Small,Tech,Paid Ads,1,0,1
CUST_00039,2024-07-08,North India,Medium,Tech,Referral,1,1,0
CUST_00040,2025-11-17,International,Small,Retail,Organic,1,1,1
CUST_00041,2025-07-16,South India,Small,Finance,Referral,0,0,0
CUST_00042,2025-07-20,South India,Small,Retail,Referral,0,0,0
CUST_00043,2024-08-31,South India,Medium,Healthcare,Referral,0,0,0
CUST_00044,2025-05-19,West India,Small,Healthcare,Referral,1,0,0
CUST_00045,2024-05-10,South India,Small,Finance,Referral,0,0,0
CUST_00046,2025-04-29,West India,Small,Tech,Organic,0,0,0
CUST_00047,2025-10-08,West India,Medium,Finance,Paid Ads,1,1,1
CUST_00048,2024-01-21,North India,Small,Tech,Paid Ads,0,0,0
CUST_00049,2024-06-15,North India,Medium,Tech,Organic,1,0,0
CUST_00050,2024-09-30,West India,Small,Tech,Referral,0,0,0
CUST_00051,2025-01-22,North India,Medium,Retail,Paid Ads,0,0,0
CUST_00052,2025-08-23,South India,Medium,Retail,Paid Ads,0,1,0
CUST_00053,2024-11-11,North India,Small,Finance,Referral,0,0,0
CUST_00054,2024-01-14,West India,Small,Retail,Organic,1,1,1
CUST_00055,2024-08-29,South India,Small,Retail,Organic,1,0,0
CUST_00056,2024-12-11,International,Medium,Healthcare,Organic,1,0,1
CUST_00057,2025-07-18,South India,Small,Finance,Organic,0,0,0
CUST_00058,2024-12-05,South India,Medium,Tech,Organic,0,0,0
CUST_00059,2024-04-01,South India,Small,Finance,Paid Ads,1,0,1
CUST_00060,2025-01-01,South India,Small,Retail,Organic,1,0,0
CUST_00061,2025-03-30,West India,Medium,Tech,Referral,1,1,1
CUST_00062,2025-03-03,International,Small,Healthcare,Referral,1,0,1
CUST_00063,2025-05-23,West India,Medium,Finance,Organic,0,0,0
CUST_00064,2024-02-04,International,Large,Healthcare,Referral,1,1,0
CUST_00065,2024-07-24,South India,Small,Tech,Organic,0,0,0
CUST_00066,2024-03-21,South India,Medium,Retail,Organic,1,0,0
CUST_00067,2025-07-15,North India,Small,Healthcare,Paid Ads,0,0,0
CUST_00068,2025-01-22,West India,Medium,Retail,Referral,0,1,0
CUST_00069,2024-01-02,South India,Small,Finance,Referral,0,1,0
CUST_00070,2025-01-24,International,Large,Tech,Paid Ads,0,0,0
CUST_00071,2025-07-19,North India,Small,Retail,Paid Ads,0,0,0
CUST_00072,2024-04-15,International,Medium,Tech,Paid Ads,0,0,0
CUST_00073,2025-04-21,South India,Medium,Finance,Paid Ads,1,0,0
CUST_00074,2025-12-03,North India,Small,Finance,Paid Ads,0,0,0
CUST_00075,2025-02-05,West India,Small,Finance,Organic,0,1,0
CUST_00076,2025-12-30,West India,Medium,Retail,Organic,1,1,0
CUST_00077,2025-07-09,South India,Small,Retail,Referral,1,0,0
